route_id,service_id,trip_id,trip_headsign,shape_id,block_id
3M,995,321102:427068:428677,MEMORIAL to City Hall,3581,428677
1,1004,318765:427069:428709,MAINLINE to City Hall,3584,428709
9,995,321014:427070:428711,JUNOT to Waterfront,3599,428711
15,995,320267:427071:428685,BEVERLY to Intercity,3586,428685
3M,995,321062:427072:428741,MEMORIAL to County Park,3595,428741
17,996,322001:427073:428728,CURRENT RIVER to Cowan,3593,428728
3M,995,321129:427074:428708,MEMORIAL to Airport,3573,428708
11,995,320769:427075:428718,JOHN to Windsor St.,3601,428718
3M,996,322305:427076:428735,MEMORIAL to Northwood,3583,428735
18,1004,319030:427077:428696,WESTFORT to Mary,3509,428696
9,1004,318942:427078:428686,JUNOT to Waterfront,3599,428686
3M,1004,318711:427079:428678,MEMORIAL to Northwood,3583,428678
3M,1006,319353:427080:428680,MEMORIAL to Northwood,3598,428680
3M,1007,319353:427080:428758,MEMORIAL to Northwood,3598,428758
9,1003,319545:427081:428737,JUNOT to Waterfront,3599,428737
8,1003,319265:427082:428698,JAMES to College,3538,428698
3J,1003,319794:427083:428698,JUMBO GARDENS to Sherwood Dr.,3571,428698
5,1003,319857:427084:428720,EDWARD to Waterfront,3555,428720
3J,995,320665:427085:428708,JUMBO GARDENS to Airport,3592,428708
11,995,320793:427086:428718,JOHN to Waterfront,3606,428718
1,995,320906:427087:428673,MAINLINE to Waterfront,3575,428673
3M,996,322272:427088:428749,MEMORIAL to County Park,3600,428749
10,996,322471:427089:428717,NORTHWOOD to College,3549,428717
3M,1003,319367:427090:428674,MEMORIAL to County Park,3595,428674
1,996,322199:427091:428752,MAINLINE to City Hall,3609,428752
3M,995,321156:427092:428731,MEMORIAL to City Hall,3581,428731
11,995,320794:427093:428753,JOHN to Waterfront,3606,428753
1,996,322244:427094:428752,MAINLINE to Waterfront,3575,428752
7,1003,319471:427095:428755,HUDSON to Shuniah St.,3577,428755
3M,1003,319414:427096:428723,MEMORIAL to Waterfront,3596,428723
1,1004,318798:427097:428670,MAINLINE to Waterfront,3575,428670
1,1004,318811:427098:428696,MAINLINE to City Hall,3609,428696
3M,1004,318744:427099:428678,MEMORIAL to County Park,3600,428678
7,1003,319427:427100:428755,HUDSON to Shuniah St.,3577,428755
9,1003,319492:427101:428747,JUNOT to Waterfront,3599,428747
18,996,321965:427102:428754,WESTFORT to Mary,3509,428754
